rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,500,200,1000,400,150,130,120,PEQUENO,2,10
2,19.50,600,220,1100,450,160,140,130,PEQUENO,3,12
3,19.00,700,240,1200,500,170,150,140,MEDIO,3,14
4,18.50,800,260,1300,550,180,160,150,MEDIO,4,16
5,18.00,900,280,1400,600,190,170,160,MEDIO,4,16
6,17.50,1000,300,1500,650,200,180,170,GRANDE,4,18
7,17.00,1100,320,1600,700,210,190,180,GRANDE,5,20
8,16.50,1200,340,1700,750,220,200,190,GRANDE,5,20
9,16.00,1300,360,1800,800,230,210,200,GRANDE,5,20
10,15.50,1400,380,1900,850,240,220,210,GRANDE,5,22
11,15.00,1500,400,2000,900,250,230,220,GRANDE,6,24
12,14.50,1600,420,2100,950,260,240,230,GRANDE,6,24


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,19.50,450,180,900,350,140,120,110,PEQUENO,2,10
2,19.00,550,200,1000,400,150,130,120,PEQUENO,2,12
3,18.50,650,220,1100,450,160,140,130,MEDIO,3,14
4,18.00,750,240,1200,500,170,150,140,MEDIO,3,14
5,17.50,850,260,1300,550,180,160,150,MEDIO,4,16
6,17.00,950,280,1400,600,190,170,160,GRANDE,4,18
7,16.50,1050,300,1500,650,200,180,170,GRANDE,4,20
8,16.00,1150,320,1600,700,210,190,180,GRANDE,5,20
9,15.50,1250,340,1700,750,220,200,190,GRANDE,5,22
10,15.00,1350,360,1800,800,230,210,200,GRANDE,6,24
11,14.50,1450,380,1900,850,240,220,210,GRANDE,6,24
12,14.00,1550,400,2000,900,250,230,220,GRANDE,6,26


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,19.00,400,160,850,300,130,110,100,PEQUENO,2,8
2,18.50,500,180,950,350,140,120,110,PEQUENO,2,10
3,18.00,600,200,1050,400,150,130,120,MEDIO,3,12
4,17.50,700,220,1150,450,160,140,130,MEDIO,3,14
5,17.00,800,240,1250,500,170,150,140,MEDIO,3,14
6,16.50,900,260,1350,550,180,160,150,GRANDE,4,16
7,16.00,1000,280,1450,600,190,170,160,GRANDE,4,18
8,15.50,1100,300,1550,650,200,180,170,GRANDE,5,18
9,15.00,1200,320,1650,700,210,190,180,GRANDE,5,20
10,14.50,1300,340,1750,750,220,200,190,GRANDE,5,20
11,14.00,1400,360,1850,800,230,210,200,GRANDE,6,22
12,13.50,1500,380,1950,850,240,220,210,GRANDE,6,24


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,18.50,350,140,800,250,120,100,90,PEQUENO,2,8
2,18.00,450,160,900,300,130,110,100,PEQUENO,2,10
3,17.50,550,180,1000,350,140,120,110,MEDIO,2,12
4,17.00,650,200,1100,400,150,130,120,MEDIO,3,14
5,16.50,750,220,1200,450,160,140,130,MEDIO,3,14
6,16.00,850,240,1300,500,170,150,140,GRANDE,4,16
7,15.50,950,260,1400,550,180,160,150,GRANDE,4,18
8,15.00,1050,280,1500,600,190,170,160,GRANDE,5,18
9,14.50,1150,300,1600,650,200,180,170,GRANDE,5,20
10,14.00,1250,320,1700,700,210,190,180,GRANDE,5,20
11,13.50,1350,340,1800,750,220,200,190,GRANDE,6,22
12,13.00,1450,360,1900,800,230,210,200,GRANDE,6,24
