rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,14.38,336.04,538.26,11377.02,2069.8,1069,848,1610,MEDIO,9,16
2,11.05,668.38,227.4,8461.83,3541.35,443,1361,215,PEQUENO,8,11
3,18.44,1216.65,731.24,3025.25,905.43,569,1487,70,PEQUENO,9,6
4,14.74,1551.43,650.61,1034.24,3656.16,1880,591,1177,MEDIO,6,6
5,18.03,724.45,937.99,5466.41,2158.01,1703,1015,1659,MEDIO,2,17
6,19.4,104.24,2143.78,10058.17,378.79,1429,1095,292,MEDIO,9,6
7,12.27,945.31,1151.58,4991.77,1752.7,1299,1887,976,PEQUENO,5,11
8,13.58,1424.97,2026.2,11807.73,3446.44,1991,1123,364,MEDIO,2,12
9,11.55,2922.33,2823.72,6025.61,2263.06,1558,1321,448,PEQUENO,7,8
10,13.17,502.27,65.89,435.24,1046.65,435,123,1708,GRANDE,5,16
11,14.56,870.09,1847.04,10066.38,2116.49,196,1477,1957,PEQUENO,2,11
12,17.29,48.33,1417.27,238.21,53.32,1969,571,599,GRANDE,1,16
