rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,10.13,382.01,3157.95,5412.93,976.4,345,150,752,MEDIO,6,16
2,12.4,2147.83,3211.72,1213.85,2466.53,1651,888,818,MEDIO,9,7
3,15.57,1531.37,665.19,4594.37,106.04,231,1893,996,PEQUENO,2,16
4,13.65,1229.54,1368.66,9966.65,3778.5,470,825,1559,GRANDE,9,13
5,15.12,1900.12,502.92,6775.88,2803.47,1733,1440,332,MEDIO,1,10
6,19.55,2293.71,2210.85,4102.44,4931.25,1629,146,1625,PEQUENO,2,6
7,10.5,2369.03,3388.84,3405.09,358.74,934,829,771,MEDIO,8,15
8,13.82,611.24,3390.85,6241.11,1057.78,648,1049,1149,PEQUENO,3,3
9,12.79,1676.08,714.32,8462.92,2107.53,1631,693,1975,MEDIO,2,7
10,19.69,1108.59,2108.41,3594.65,2664.36,1668,472,847,PEQUENO,5,4
11,14.79,2778.22,70.87,8346.45,1396.4,1181,1000,1228,GRANDE,4,14
12,11.18,1443.93,59.01,5575.26,1559.59,1346,958,1295,MEDIO,2,17
13,19.98,2770.82,1440.86,297.86,4909.99,1066,176,1318,GRANDE,9,9
14,13.39,205.2,2235.05,11214.57,2624.75,90,460,243,GRANDE,1,6
15,19.11,2870.94,2651.96,4779.48,1450.91,1717,1416,1883,PEQUENO,4,12
16,19.35,2686.44,3184.4,5637.62,4032.02,929,111,288,MEDIO,4,8
17,12.9,1960.37,2458.78,10558.3,4350.7,725,1856,1904,PEQUENO,3,15
18,15.72,2977.49,650.61,543.68,4010.18,765,1217,1826,GRANDE,2,3
19,18.63,561.48,1523.85,5636.9,1465.52,1369,704,168,GRANDE,3,16
20,18.84,2049.47,2097.36,5484.36,154.93,1373,49,1082,MEDIO,2,14
21,15.32,1679.23,1865.49,3809.42,2785.35,454,1086,1541,GRANDE,1,10
22,16.17,2601.63,1086.82,708.32,752.09,1810,914,1977,PEQUENO,3,7
23,11.56,2585.45,265.27,7475.35,2182.11,1192,1894,1206,GRANDE,8,5
24,18.48,2285.09,3274.24,680.95,3784.67,1790,1030,384,GRANDE,4,14
25,11.63,286.12,3197.67,5113.05,3656.61,1593,1503,1018,MEDIO,5,9
26,10.57,2111.22,3264.34,6767.97,4909.94,211,34,92,MEDIO,7,18
27,17.73,2906.99,2631.48,3354.45,684.21,641,1852,221,GRANDE,8,18
28,13.57,1723.92,1455.34,9007.65,1383.25,725,310,376,MEDIO,8,12
29,17.63,1640.14,2378.5,3277.23,1980.41,472,1367,1923,GRANDE,1,10
30,16.66,278.59,1399.9,4281.31,1546.45,1989,70,1222,MEDIO,3,19
31,15.54,1910.45,3577.98,3248.53,260.88,260,254,161,MEDIO,1,14
32,10.2,414.6,1258.51,1853.82,82.81,1008,1541,1499,GRANDE,7,13
33,15.15,1513.98,1201.41,6690.88,935.02,159,1639,1192,PEQUENO,3,6
34,14.02,2027.12,2473.63,10902.13,2238.77,1066,539,1383,MEDIO,3,9
35,19.32,1581.7,2452.62,11407.19,1151.53,96,478,1297,PEQUENO,6,17
36,11.55,1172.31,435.88,4206.09,1302.2,1334,60,181,PEQUENO,9,17
