rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,12.37,618.44,3222.28,770.58,3558.23,316,1598,932,MEDIO,8,5
2,11.86,1368.05,1576.79,2906.62,2681.08,1364,1975,1891,MEDIO,7,14
3,17.08,1735.74,678.76,115.93,3580.71,879,1436,650,PEQUENO,5,13
4,15.88,2718.26,3736.44,6481.45,3105.58,802,700,808,PEQUENO,7,15
5,18.04,1799.31,2205.21,11639.58,4442.02,1436,1365,1316,MEDIO,1,17
6,16.22,397.04,2973.42,10798.11,2383.21,1061,217,773,PEQUENO,7,11
7,14.25,2699.42,1465.15,1344.94,3867.57,312,730,1277,GRANDE,8,18
8,17.27,2905.5,370.58,148.65,3324.2,154,377,1506,PEQUENO,1,7
9,11.05,873.28,1267.0,10102.28,365.22,1709,26,1683,GRANDE,3,13
10,10.27,2742.29,3249.46,9391.91,2231.1,291,1201,1914,GRANDE,3,10
11,18.33,2603.99,3765.52,10574.82,4027.97,1929,1633,1670,GRANDE,9,17
12,15.6,571.29,2598.02,4885.47,2461.94,1603,1841,886,MEDIO,3,12
