rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,12.27,2085.38,1660.58,3115.94,4134.07,397,426,1168,GRANDE,9,12
2,11.3,1421.44,286.61,3864.63,2198.21,344,195,245,MEDIO,4,8
3,13.31,376.64,3988.58,11851.75,2231.21,557,1778,1163,MEDIO,8,5
4,10.81,2754.35,3206.42,8459.54,3951.43,690,1094,1362,PEQUENO,4,11
5,13.76,122.91,3657.14,6939.59,1087.54,1126,1507,1157,MEDIO,8,5
6,13.7,410.48,3633.18,311.47,1391.07,1881,1273,1071,MEDIO,5,15
7,11.08,2201.16,2272.37,1738.21,522.79,752,695,631,PEQUENO,5,6
8,16.26,2637.65,3756.7,4354.58,1864.24,1330,130,486,MEDIO,5,3
9,19.92,2686.83,1575.15,11449.84,4009.76,164,135,1287,GRANDE,7,19
10,13.23,1225.89,3634.62,2261.9,3819.08,1842,295,329,GRANDE,5,9
11,13.5,436.53,3029.95,225.55,3390.06,528,579,440,GRANDE,4,9
12,18.03,29.77,2638.84,798.87,1629.52,791,1861,324,MEDIO,2,3
13,12.1,1149.83,943.13,8592.22,2104.88,1531,1419,752,MEDIO,4,19
14,19.66,517.76,639.01,950.36,1081.36,283,183,528,MEDIO,4,12
15,17.91,1320.24,1525.3,5471.66,4911.77,1779,653,288,PEQUENO,4,13
16,16.88,508.41,807.94,698.83,3954.94,1400,1424,1953,GRANDE,2,11
17,10.41,1493.91,1106.98,8475.5,2567.27,977,196,35,PEQUENO,4,3
18,11.57,1510.67,3106.92,7545.5,1902.61,416,629,247,PEQUENO,6,3
19,11.09,342.29,96.32,5376.22,3609.31,1731,1382,1837,MEDIO,5,13
20,17.47,1408.91,317.33,157.6,3919.74,595,1990,1808,GRANDE,7,4
21,15.29,816.87,2319.78,10654.98,4483.41,1115,1420,585,GRANDE,7,9
22,18.04,1229.82,2224.81,823.44,3255.1,297,1521,533,MEDIO,9,8
23,12.64,594.78,103.36,6180.43,4341.92,993,1807,30,MEDIO,7,12
24,14.59,1389.34,3634.42,5455.68,3738.53,928,470,307,MEDIO,6,8
25,18.29,2567.38,1095.16,66.84,2051.58,1569,767,236,GRANDE,5,17
26,19.09,483.55,691.62,11443.96,3629.74,1107,781,756,GRANDE,1,11
27,10.12,2061.67,3242.61,7118.93,4703.85,752,1712,236,MEDIO,9,13
28,15.63,2544.92,2271.49,10818.75,1547.81,367,1959,1183,MEDIO,8,14
29,19.76,532.68,1501.33,2872.01,3221.77,469,1698,1517,GRANDE,6,16
30,19.16,1606.42,869.64,2890.05,3175.46,1284,1605,1424,PEQUENO,8,17
31,11.19,26.8,2843.39,11604.77,257.77,1349,1809,571,MEDIO,1,4
32,17.57,2349.32,1080.7,4289.95,819.15,420,1755,1629,GRANDE,4,7
33,15.67,2547.27,2317.92,1128.39,1536.99,616,297,893,PEQUENO,3,4
34,18.47,2699.01,1613.0,10637.37,3231.76,1953,605,341,MEDIO,5,13
35,18.77,1829.85,2898.41,8814.76,3563.58,61,1117,1479,MEDIO,6,17
36,13.98,508.34,1485.06,8077.21,2633.3,956,1794,642,GRANDE,3,12
