rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,18.74,1609.69,3391.91,3855.84,237.65,727,985,403,PEQUENO,7,8
2,16.94,1149.9,897.71,9740.23,3217.11,595,1412,1048,PEQUENO,1,12
3,13.22,2670.85,91.09,11078.01,274.15,1497,28,1343,PEQUENO,4,15
4,16.69,1341.75,18.95,5969.53,2275.95,450,307,1253,PEQUENO,7,18
5,15.53,2862.12,1998.04,1811.38,4657.84,816,1588,951,PEQUENO,8,11
6,11.18,2098.28,3896.28,2719.37,732.71,992,861,677,GRANDE,3,9
7,12.52,272.58,1780.99,10544.58,4047.09,620,1389,1976,MEDIO,7,4
8,17.5,2854.58,1122.78,112.48,3512.71,432,856,692,MEDIO,3,17
9,16.33,3.23,1091.01,11187.61,3767.22,206,141,1661,GRANDE,7,18
10,18.49,1932.39,3926.35,1517.79,1372.24,975,1718,1623,MEDIO,1,11
11,11.73,2882.71,39.2,11251.09,4105.65,1204,646,841,PEQUENO,3,11
12,14.03,2942.72,2623.98,9721.44,4921.17,985,295,259,MEDIO,3,6
13,13.2,1000.94,1740.15,4291.07,2737.0,850,857,606,PEQUENO,7,8
14,12.54,2348.17,1531.97,6942.31,1583.59,727,1345,1654,MEDIO,8,3
15,15.01,1778.81,2359.0,4391.56,918.68,1285,201,103,GRANDE,5,15
16,15.37,560.97,2774.02,937.8,2534.92,49,1460,814,PEQUENO,4,15
17,10.33,1087.74,390.28,5265.49,1903.53,1795,1141,1358,PEQUENO,7,4
18,17.03,1681.36,1680.92,11581.85,486.53,615,595,1043,GRANDE,7,5
19,16.08,1148.05,2803.52,5060.8,158.38,1694,1281,1248,MEDIO,3,11
20,13.58,2679.44,3201.18,3604.91,2872.9,52,899,589,PEQUENO,9,19
21,15.93,1110.21,3251.84,10975.65,4310.81,807,409,417,GRANDE,3,18
22,14.53,2867.59,2746.8,607.43,2841.63,112,1142,593,GRANDE,1,3
23,11.76,1797.37,420.29,10335.12,1942.12,1047,495,1049,MEDIO,5,6
24,15.83,919.2,2715.34,11637.2,4887.43,1155,680,1924,MEDIO,2,19
25,16.1,2860.24,2369.84,5115.47,2719.02,1676,1047,1308,MEDIO,8,11
26,17.77,680.63,2706.92,5126.18,4456.9,1502,1535,1505,MEDIO,5,14
27,15.63,2540.89,390.73,1883.15,4795.13,1487,1947,1700,PEQUENO,2,12
28,17.61,1705.52,1670.89,8216.92,547.41,1222,1092,1076,PEQUENO,2,4
29,19.77,2086.35,708.09,5042.31,1636.96,437,1042,1990,MEDIO,4,6
30,16.47,1761.71,2192.61,6604.58,3370.6,869,912,300,MEDIO,8,13
31,11.03,480.1,2466.24,6108.07,354.33,1467,1855,1785,MEDIO,6,7
32,15.59,2910.13,39.12,8235.33,2270.54,905,1997,282,GRANDE,9,9
33,12.8,2705.75,1949.69,1776.93,3370.41,1755,15,392,GRANDE,5,6
34,17.6,2568.83,3727.03,6393.01,4170.88,1770,1271,1404,MEDIO,7,19
35,16.18,1308.19,1970.6,6714.56,4160.45,1933,1531,814,PEQUENO,5,5
36,19.82,1111.19,3085.48,5518.34,2860.78,518,1779,625,GRANDE,6,19
