rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,22.00,300,120,750,200,110,100,90,PEQUENO,2,8
2,22.50,250,110,700,180,100,90,80,PEQUENO,2,8
3,23.00,200,100,650,160,90,80,70,PEQUENO,2,6
4,23.50,180,90,600,140,80,70,60,PEQUENO,2,6
5,24.00,160,80,550,120,70,60,50,PEQUENO,2,4
6,24.50,140,70,500,100,60,50,40,PEQUENO,2,4
7,25.00,120,60,450,80,50,40,30,PEQUENO,2,2
8,25.50,100,50,400,60,40,30,20,PEQUENO,2,2
9,26.00,80,40,350,40,30,20,10,PEQUENO,2,2
10,26.50,60,30,300,20,20,10,0,PEQUENO,2,2
11,27.00,50,20,250,10,10,0,0,PEQUENO,2,2
12,27.50,40,10,200,0,0,0,0,PEQUENO,2,2


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,21.50,280,130,800,220,120,110,100,PEQUENO,2,8
2,22.00,250,120,750,200,110,100,90,PEQUENO,2,8
3,22.50,240,110,700,180,100,90,80,PEQUENO,2,6
4,23.00,220,100,650,160,90,80,70,PEQUENO,2,6
5,23.50,200,90,600,140,80,70,60,PEQUENO,2,6
6,24.00,180,80,550,120,70,60,50,PEQUENO,2,4
7,24.50,160,70,500,100,60,50,40,PEQUENO,2,4
8,25.00,140,60,450,80,50,40,30,PEQUENO,2,2
9,25.50,120,50,400,60,40,30,20,PEQUENO,2,2
10,26.00,100,40,350,40,30,20,10,PEQUENO,2,2
11,26.50,80,30,300,20,20,10,0,PEQUENO,2,2
12,27.00,60,20,250,10,10,0,0,PEQUENO,2,2


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,250,140,750,210,130,120,110,PEQUENO,2,8
2,20.50,240,130,700,200,120,110,100,PEQUENO,2,8
3,21.00,230,120,650,190,110,100,90,PEQUENO,2,6
4,21.50,220,110,600,180,100,90,80,PEQUENO,2,6
5,22.00,200,100,550,170,90,80,70,PEQUENO,2,6
6,22.50,180,90,500,160,80,70,60,PEQUENO,2,4
7,23.00,160,80,450,150,70,60,50,PEQUENO,2,4
8,23.50,140,70,400,140,60,50,40,PEQUENO,2,4
9,24.00,120,60,350,130,50,40,30,PEQUENO,2,2
10,24.50,100,50,300,120,40,30,20,PEQUENO,2,2
11,25.00,80,40,250,110,30,20,10,PEQUENO,2,2
12,25.50,60,30,200,100,20,10,0,PEQUENO,2,2


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,19.50,220,150,800,230,140,130,120,PEQUENO,2,8
2,20.00,210,140,750,210,130,120,110,PEQUENO,2,8
3,20.50,200,130,700,190,120,110,100,PEQUENO,2,6
4,21.00,190,120,650,170,110,100,90,PEQUENO,2,6
5,21.50,180,110,600,160,100,90,80,PEQUENO,2,6
6,22.00,170,100,550,140,90,80,70,PEQUENO,2,4
7,22.50,160,90,500,120,80,70,60,PEQUENO,2,4
8,23.00,150,80,450,100,70,60,50,PEQUENO,2,4
9,23.50,140,70,400,80,60,50,40,PEQUENO,2,2
10,24.00,130,60,350,60,50,40,30,PEQUENO,2,2
11,24.50,120,50,300,40,40,30,20,PEQUENO,2,2
12,25.00,110,40,250,20,30,20,10,PEQUENO,2,2
