rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,500,200,1000,300,100,80,60,PEQUENO,2,10
2,19.50,600,250,1050,350,110,85,65,PEQUENO,2,10
3,19.00,700,300,1100,400,120,90,70,PEQUENO,2,12
4,18.50,800,350,1150,450,130,95,75,PEQUENO,3,12
5,18.00,900,400,1200,500,140,100,80,MEDIO,3,14
6,17.50,1000,450,1250,550,150,105,85,MEDIO,3,14
7,17.00,1100,500,1300,600,160,110,90,MEDIO,4,16
8,16.50,1200,550,1350,650,170,115,95,MEDIO,4,16
9,16.00,1300,600,1400,700,180,120,100,GRANDE,4,18
10,15.50,1400,650,1450,750,190,125,105,GRANDE,5,18
11,15.00,1500,700,1500,800,200,130,110,GRANDE,5,20
12,14.50,1600,750,1550,850,210,135,115,GRANDE,5,20


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,1000,500,1500,600,200,180,160,GRANDE,5,20
2,20.50,950,450,1450,550,190,170,150,GRANDE,5,20
3,21.00,900,400,1400,500,180,160,140,GRANDE,4,18
4,21.50,850,350,1350,450,170,150,130,GRANDE,4,18
5,22.00,800,300,1300,400,160,140,120,MEDIO,4,16
6,22.50,750,250,1250,350,150,130,110,MEDIO,3,16
7,23.00,700,200,1200,300,140,120,100,MEDIO,3,14
8,23.50,650,150,1150,250,130,110,90,MEDIO,3,14
9,24.00,600,100,1100,200,120,100,80,PEQUENO,2,12
10,24.50,550,90,1050,180,110,90,70,PEQUENO,2,12
11,25.00,500,80,1000,160,100,80,60,PEQUENO,2,10
12,25.50,450,70,950,140,90,70,50,PEQUENO,2,10


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,25.00,400,150,800,200,100,80,60,PEQUENO,2,8
2,24.50,350,130,750,180,90,70,50,PEQUENO,2,8
3,24.00,300,120,700,160,80,65,45,PEQUENO,2,6
4,23.50,250,100,650,140,70,60,40,PEQUENO,2,6
5,23.00,450,180,850,250,90,75,55,MEDIO,3,8
6,22.50,500,200,900,300,110,90,70,MEDIO,3,10
7,22.00,600,250,1000,350,130,100,80,MEDIO,3,12
8,21.50,700,300,1100,400,150,110,90,MEDIO,4,14
9,21.00,800,350,1200,450,170,120,100,GRANDE,4,16
10,20.50,900,400,1300,500,190,130,110,GRANDE,4,18
11,20.00,1000,450,1400,550,210,140,120,GRANDE,5,20
12,19.50,1100,500,1500,600,230,150,130,GRANDE,5,20


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,500,250,1200,400,150,130,110,PEQUENO,3,12
2,19.50,600,300,1250,450,160,140,120,PEQUENO,3,12
3,19.00,700,350,1300,500,170,150,130,MEDIO,3,14
4,18.50,800,400,1350,550,180,160,140,MEDIO,4,16
5,18.00,900,450,1400,600,190,170,150,MEDIO,4,16
6,17.50,1000,500,1450,650,200,180,160,GRANDE,4,18
7,17.00,1100,550,1500,700,210,190,170,GRANDE,5,20
8,17.50,1000,500,1450,650,200,180,160,GRANDE,4,18
9,18.00,900,450,1400,600,190,170,150,GRANDE,4,18
10,18.50,800,400,1350,550,180,160,140,MEDIO,4,16
11,19.00,700,350,1300,500,170,150,130,MEDIO,3,14
12,19.50,600,300,1250,450,160,140,120,MEDIO,3,14
