rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,500,200,1000,400,100,100,100,PEQUENO,2,10
2,19.00,600,250,1100,450,120,120,110,PEQUENO,2,12
3,18.00,700,300,1200,500,140,140,120,MEDIO,3,14
4,17.50,800,350,1300,550,160,160,130,MEDIO,3,16
5,17.00,900,400,1400,600,180,180,140,MEDIO,3,16
6,16.50,1000,450,1500,650,200,200,150,GRANDE,4,18
7,16.00,1100,500,1600,700,220,220,160,GRANDE,4,20
8,15.50,1200,550,1700,750,240,240,170,GRANDE,4,22
9,15.00,1300,600,1800,800,260,260,180,GRANDE,5,24
10,14.50,1400,650,1900,850,280,280,190,GRANDE,5,26
11,14.00,1500,700,2000,900,300,300,200,GRANDE,6,28
12,13.50,1600,750,2100,950,320,320,210,GRANDE,6,30


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,19.50,400,180,950,350,90,90,90,PEQUENO,2,10
2,18.50,450,200,1000,400,100,100,100,PEQUENO,2,12
3,17.50,500,220,1050,450,110,110,110,MEDIO,2,14
4,17.00,550,240,1100,500,120,120,120,MEDIO,3,16
5,16.50,600,260,1150,550,130,130,130,MEDIO,3,16
6,16.00,650,280,1200,600,140,140,140,MEDIO,3,18
7,15.50,700,300,1250,650,150,150,150,MEDIO,3,20
8,15.00,750,320,1300,700,160,160,160,MEDIO,4,22
9,14.50,800,340,1350,750,170,170,170,GRANDE,4,24
10,14.00,850,360,1400,800,180,180,180,GRANDE,4,26
11,13.50,900,380,1450,850,190,190,190,GRANDE,5,28
12,13.00,950,400,1500,900,200,200,200,GRANDE,5,30


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,18.00,300,160,900,300,80,80,80,PEQUENO,2,10
2,17.00,350,180,950,350,90,90,90,PEQUENO,2,12
3,16.00,400,200,1000,400,100,100,100,PEQUENO,2,14
4,15.00,450,220,1050,450,110,110,110,MEDIO,2,16
5,14.50,500,240,1100,500,120,120,120,MEDIO,3,16
6,14.00,550,260,1150,550,130,130,130,MEDIO,3,18
7,13.50,600,280,1200,600,140,140,140,MEDIO,3,20
8,13.00,650,300,1250,650,150,150,150,MEDIO,3,22
9,12.50,700,320,1300,700,160,160,160,MEDIO,4,24
10,12.00,750,340,1350,750,170,170,170,GRANDE,4,26
11,11.50,800,360,1400,800,180,180,180,GRANDE,4,28
12,11.00,850,380,1450,850,190,190,190,GRANDE,5,30


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,17.50,250,140,850,250,70,70,70,PEQUENO,2,10
2,16.50,300,160,900,300,80,80,80,PEQUENO,2,12
3,15.50,350,180,950,350,90,90,90,PEQUENO,2,14
4,15.00,400,200,1000,400,100,100,100,MEDIO,3,16
5,14.50,450,220,1050,450,110,110,110,MEDIO,3,16
6,14.00,500,240,1100,500,120,120,120,MEDIO,3,18
7,13.50,550,260,1150,550,130,130,130,MEDIO,3,20
8,13.00,600,280,1200,600,140,140,140,MEDIO,3,22
9,12.50,650,300,1250,650,150,150,150,MEDIO,4,24
10,12.00,700,320,1300,700,160,160,160,GRANDE,4,26
11,11.50,750,340,1350,750,170,170,170,GRANDE,4,28
12,11.00,800,360,1400,800,180,180,180,GRANDE,5,30
