rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,12.99,4000.00,4000.00,4000.00,8000.00,700,1100,950,PEQUENO,3,7
2,11.99,3500.00,3500.00,5000.00,8000.00,700,1200,1100,PEQUENO,6,13
3,10.99,4000.00,3200.00,5000.00,8200.00,650,1200,1100,MEDIO,6,12
4,11.49,3500.00,3000.00,5500.00,8400.00,600,1200,1200,MEDIO,6,11
5,11.79,3300.00,2800.00,6000.00,8600.00,650,1300,1300,MEDIO,6,10
6,12.29,3100.00,2600.00,6000.00,8800.00,700,1300,1400,MEDIO,6,10
7,12.59,2900.00,2400.00,5500.00,9000.00,700,1300,1500,MEDIO,6,10
8,13.99,2500.00,2200.00,5500.00,9500.00,700,1200,1500,MEDIO,5,11
9,13.29,2500.00,2000.00,6000.00,10000.00,700,1200,1400,MEDIO,5,11
10,12.99,2500.00,1800.00,6000.00,10500.00,650,1200,1300,MEDIO,5,10
11,13.49,2500.00,1600.00,5500.00,11000.00,700,1300,1300,MEDIO,5,11
12,13.19,2500.00,1400.00,5500.00,11000.00,700,1300,1300,MEDIO,5,11


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,10.99,4000.00,3000.00,3000.00,7000.00,600,1000,1000,PEQUENO,3,6
2,11.99,3500.00,4500.00,4000.00,8000.00,700,1100,1000,PEQUENO,5,11
3,10.99,4000.00,4200.00,5000.00,7200.00,750,1100,1100,PEQUENO,6,13
4,11.49,3500.00,3000.00,4500.00,7400.00,700,1200,1200,PEQUENO,5,11
5,11.79,3300.00,2800.00,5000.00,8000.00,650,1300,1200,PEQUENO,6,13
6,11.29,3100.00,2600.00,6000.00,8500.00,800,1400,1300,PEQUENO,5,11
7,11.59,2900.00,2400.00,5500.00,9000.00,600,1500,1400,MEDIO,6,13
8,12.99,2500.00,3200.00,5500.00,9300.00,650,1300,1500,MEDIO,5,11
9,12.29,2500.00,2000.00,5000.00,95000.00,600,1200,1400,MEDIO,5,11
10,11.99,2500.00,1800.00,5000.00,10000.00,650,1100,1300,MEDIO,6,13
11,12.49,2500.00,2600.00,6500.00,10500.00,600,1300,1200,MEDIO,5,11
12,12.19,2500.00,1400.00,5500.00,10500.00,600,1200,1100,MEDIO,6,13


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,9.99,3000.00,4000.00,5000.00,8000.00,700,1100,1100,MEDIO,6,13
2,10.99,4000.00,4500.00,4000.00,9000.00,800,1200,1100,MEDIO,6,13
3,10.99,4000.00,4200.00,5000.00,8200.00,850,1200,1200,MEDIO,6,13
4,11.49,3500.00,3000.00,4500.00,8400.00,800,1300,1300,MEDIO,7,14
5,11.19,3800.00,3000.00,5000.00,9000.00,750,1400,1300,MEDIO,6,14
6,11.29,4000.00,2500.00,5500.00,9500.00,900,1500,1400,MEDIO,7,13
7,11.59,3100.00,2400.00,5500.00,10000.00,700,1600,1500,MEDIO,6,13
8,11.99,3500.00,3200.00,6000.00,10300.00,750,1400,1600,MEDIO,7,13
9,12.29,3500.00,2000.00,6000.00,10500.00,700,1300,1700,MEDIO,7,14
10,11.99,3000.00,2200.00,6500.00,11000.00,750,1200,1400,MEDIO,6,13
11,12.19,3500.00,2600.00,6500.00,11500.00,700,1400,1300,MEDIO,7,14
12,12.19,2500.00,2000.00,6500.00,11500.00,700,1300,1200,MEDIO,6,13


rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,10.99,2000.00,3000.00,6000.00,8000.00,800,1100,1200,MEDIO,7,13
2,11.99,3000.00,3500.00,5000.00,8000.00,800,1100,1200,MEDIO,7,14
3,11.99,3000.00,4200.00,6000.00,9200.00,850,1100,1300,MEDIO,7,13
4,12.49,2500.00,3000.00,5500.00,9400.00,800,1200,1400,MEDIO,7,14
5,12.19,2800.00,4000.00,6000.00,9000.00,750,1300,1500,MEDIO,6,13
6,12.29,3000.00,3500.00,5500.00,10500.00,800,1400,1400,MEDIO,7,13
7,12.59,2100.00,3400.00,5500.00,9500.00,800,1500,1600,MEDIO,7,14
8,12.99,2500.00,4200.00,6000.00,9300.00,850,1600,1700,MEDIO,6,13
9,13.29,2500.00,3000.00,6500.00,10500.00,800,1600,1800,MEDIO,6,13
10,12.99,2000.00,3200.00,7500.00,12000.00,850,1500,1600,MEDIO,7,14
11,13.19,2500.00,3600.00,6500.00,12500.00,800,1400,1700,MEDIO,6,14
12,13.19,1500.00,3000.00,7000.00,12500.00,800,1500,1800,MEDIO,7,14
