rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,16.5,1318.31,2624.9,2788.52,1607.54,1179,1439,145,MEDIO,1,18
2,14.5,484.06,2661.4,2608.17,4524.28,3,1650,1714,PEQUENO,4,15
3,13.04,531.2,2418.92,10460.2,406.8,195,1487,915,MEDIO,4,13
4,14.37,236.74,596.12,7041.53,1378.47,818,952,1745,MEDIO,1,14
5,12.03,1686.55,746.6,60.68,967.78,370,1158,506,GRANDE,9,16
6,11.99,1114.7,3179.62,5982.82,2382.36,1570,1514,738,GRANDE,1,3
7,13.64,606.09,3948.91,9158.33,196.15,480,19,1246,PEQUENO,2,12
8,14.13,1588.79,1822.66,5031.51,3200.03,1397,277,811,PEQUENO,3,19
9,13.32,1113.85,748.2,11454.85,3542.83,1923,1467,1485,MEDIO,6,12
10,17.54,703.62,2605.43,1970.03,764.42,1454,291,98,PEQUENO,6,17
11,16.94,2899.29,2198.99,11062.08,3239.34,1948,1301,1133,MEDIO,6,5
12,13.82,1619.08,3166.86,6628.41,2229.76,1670,685,1813,PEQUENO,1,19
