rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,19.02,2799.77,20.54,3747.63,3809.79,1655,941,1238,MEDIO,7,17
2,15.55,524.32,710.07,1498.99,1992.94,1578,1756,769,GRANDE,1,11
3,16.62,559.63,1009.8,9863.87,3478.51,1470,1048,1049,PEQUENO,6,6
4,12.58,1375.6,2429.91,1767.73,960.37,1363,1594,850,PEQUENO,9,6
5,19.36,218.23,1245.92,7779.99,3994.59,1190,1413,1150,GRANDE,6,8
6,18.1,908.33,3881.2,6602.55,2274.21,672,1326,1955,GRANDE,3,5
7,11.67,1288.57,2929.68,10211.77,4964.35,1072,149,1464,PEQUENO,9,3
8,12.45,811.03,746.27,10834.82,1393.18,1592,1704,1009,GRANDE,4,11
9,11.87,2619.21,1290.43,7768.59,2344.79,1123,20,1710,MEDIO,6,12
10,13.8,371.49,3898.46,4253.85,2475.53,898,1979,82,MEDIO,8,16
11,10.46,690.41,2298.78,8230.81,1907.32,856,124,409,PEQUENO,4,9
12,11.23,1277.97,3299.28,10857.47,1255.3,122,1215,554,PEQUENO,2,14
13,15.91,2484.36,3187.26,8510.05,1513.8,87,891,64,MEDIO,8,17
14,15.98,2433.27,3273.64,3785.37,3247.75,713,1160,795,PEQUENO,3,13
15,15.49,2476.56,3486.5,3866.4,3320.26,1504,734,1167,PEQUENO,3,7
16,14.88,833.51,17.5,10300.54,4555.48,1371,130,1608,MEDIO,5,19
17,10.84,2042.84,2827.22,2040.8,2682.0,1218,893,443,GRANDE,4,6
18,14.0,2309.47,893.2,11362.39,2504.52,1719,1130,1689,MEDIO,6,8
19,12.43,1371.28,2905.49,3718.01,807.0,1634,782,1411,PEQUENO,7,18
20,19.02,2661.58,671.14,2625.34,4025.04,719,1535,771,MEDIO,2,12
21,15.49,1394.55,2381.85,3632.01,4609.79,1611,1540,976,MEDIO,2,4
22,19.43,1476.14,19.68,7285.34,1158.5,1260,700,885,GRANDE,4,8
23,16.65,2669.32,1656.0,8734.74,4469.03,626,1265,1152,PEQUENO,6,14
24,17.57,1191.38,3713.71,347.32,3485.46,466,1587,37,MEDIO,5,17
25,11.43,2412.4,316.48,4429.68,2801.49,481,1100,121,MEDIO,9,15
26,11.42,2812.94,3446.92,5628.83,120.85,738,1883,167,MEDIO,5,10
27,10.97,1432.46,2329.62,7208.44,3795.13,1094,433,1275,PEQUENO,2,14
28,15.05,258.49,1322.78,7038.67,1542.79,325,16,1751,GRANDE,7,3
29,12.35,712.93,566.83,7786.61,426.89,1299,1561,893,MEDIO,5,6
30,14.57,1509.51,928.0,1003.22,3971.85,1320,1672,1656,MEDIO,6,3
31,15.7,564.8,2628.81,3860.95,3147.14,853,1757,153,GRANDE,9,11
32,13.46,2097.91,3253.15,7669.43,1629.96,843,380,1143,GRANDE,1,16
33,11.92,2108.35,3673.54,9686.18,4413.91,1720,800,512,GRANDE,2,12
34,13.33,2414.51,1284.55,8727.06,1764.1,1605,1589,110,MEDIO,8,18
35,11.24,65.78,2620.71,452.4,2043.96,21,1589,1510,MEDIO,8,15
36,10.59,2805.68,3319.77,11520.89,2343.66,1559,385,299,GRANDE,2,16
