rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,19.50,400,180,950,350,90,90,90,PEQUENO,2,10
2,18.50,450,200,1000,400,100,100,100,PEQUENO,2,12
3,17.50,500,220,1050,450,110,110,110,MEDIO,2,14
4,17.00,550,240,1100,500,120,120,120,MEDIO,3,16
5,16.50,600,260,1150,550,130,130,130,MEDIO,3,16
6,16.00,650,280,1200,600,140,140,140,MEDIO,3,18
7,15.50,700,300,1250,650,150,150,150,MEDIO,3,20
8,15.00,750,320,1300,700,160,160,160,MEDIO,4,22
9,14.50,800,340,1350,750,170,170,170,GRANDE,4,24
10,14.00,850,360,1400,800,180,180,180,GRANDE,4,26
11,13.50,900,380,1450,850,190,190,190,GRANDE,5,28
12,13.00,950,400,1500,900,200,200,200,GRANDE,5,30
